Obwohl	KOUS
Lukian	NN
in	APPR
seinen	PPOSAT
«	$(
Wahren	ADJA
Geschichten	NN
»	$(
auf	APPR
eine	ART
für	APPR
einen	ART
griechischen	ADJA
Liebesroman	NN
charakteristische	ADJA
,	$,
übergeordnete	ADJA
emotionale	ADJA
Liebesgeschichte	NN
verzichtet	VVPP
,	$,
kann	VMFIN
ihnen	PPER
das	ART
Liebesmotiv	NN
nicht	PTKNEG
per	APPR
se	ADJD
abgesprochen	VVPP
werden	VAINF
.	$.

Anhand	APPR
von	APPR
drei	CARD
Episoden	NN
,	$,
in	APPR
denen	PRELS
Lukian	NN
Motive	NN
aus	APPR
dem	ART
griechischen	ADJA
Liebesroman	NN
durch	APPR
Verfremdung	NN
parodiert	VVPP
,	$,
zeigt	VVFIN
sich	PRF
das	ART
narratologische	ADJA
Grundmuster	NN
,	$,
das	PRELS
durch	APPR
das	ART
(	$(
negativ	ADJD
dargestellte	ADJA
)	$(
Wirken	NN
des	ART
Eros	NN
bestimmt	VVPP
ist	VAFIN
.	$.

