Pur	ADV
nella	PRE:det
sua	PRO:poss
ambiguità	NOM
,	PON
il	DET:def
testo	NOM
platonico	ADJ
fornisce	VER:pres
riscontri	NOM
all'	PRE:det
attendibilità	NOM
della	PRE:det
lettura	NOM
straussiana	ADJ
sia	CON
nell'	PRE:det
esigenza	NOM
di	PRE
individuare	VER:infi
una	DET:indef
forma	NOM
«	PON
erotica	ADJ
»	PON
o	CON
«	PON
zetetica	ADJ
»	PON
di	PRE
scetticismo	NOM
propria	ADJ
della	PRE:det
filosofia	NOM
,	PON
sia	CON
nella	PRE:det
concezione	NOM
della	PRE:det
nobile	ADJ
menzogna	NOM
come	PRE
mascheramento	NOM
della	PRE:det
filosofia	NOM
di	PRE
fronte	NOM
alla	PRE:det
politica	NOM
per	PRE
salvaguardare	VER:infi
i	DET:def
valori	NOM
fondamentali	ADJ
della	PRE:det
«	PON
polis	NOM
»	PON

