Bien	ADV
qu'	KON
on	PRO:PER
puisse	VER:subp
trouver	VER:infi
dans	PRP
la	DET:ART
poésie	NOM
grecque	ADJ
des	PRP:det
antécédents	NOM
de	PRP
cette	PRO:DEM
métaphore	NOM
(	PUN
comparaison	NOM
entre	PRP
les	DET:ART
événements	NOM
qui	PRO:REL
se	PRO:PER
produisent	VER:pres
à	PRP
la	DET:ART
guerre	NOM
et	KON
les	DET:ART
phénomènes	NOM
météorologiques	ADJ
)	PUN
,	PUN
l'	DET:ART
image	NOM
de	PRP
la	DET:ART
«	PUN:cit
grêle	NOM
de	PRP
sang	NOM
»	PUN:cit
reste	VER:pres
particulière	ADJ
à	PRP
Pindare	NAM
et	KON
témoigne	VER:pres
de	PRP
la	DET:ART
puissance	NOM
et	KON
de	PRP
l'	DET:ART
originalité	NOM
de	PRP
son	DET:POS
inspiration	NOM
poétique	ADJ

