Solo	ADV
quattro	ADJ
oggetti	NOM
delle	PRE:det
collezioni	NOM
vaticane	ADJ
,	PON
identificabili	ADJ
in	PRE
base	NOM
all'	PRE:det
inventario	NOM
del	PRE:det
1762	NUM
,	PON
si	PRO:pers
possono	VER:pres
attribuire	VER:infi
al	PRE:det
tesoro	NOM
di	PRE
argenterie	NOM
cristiane	ADJ
,	PON
rinvenute	VER:pper
sul	PRE:det
Celio	NOM
,	PON
che	PRO:rela
Benedetto	NOM
XIV	NUM
acquistò	VER:remo
nel	PRE:det
1757	NUM
:	PON
le	DET:def
ampolle	NOM
del	PRE:det
Museo	NOM
Sacro	NOM
N°	NOM
inv.	ABR
60862	NUM
e	CON
60858	NUM
,	PON
il	DET:def
bicchiere	NOM
del	PRE:det
Museo	NOM
Sacro	NOM
N°	NOM
inv	NOM
60857	NUM
e	CON
il	DET:def
disco	NOM
con	PRE
scena	NOM
di	PRE
caccia	NOM
al	PRE:det
cinghiale	NOM
del	PRE:det
Museo	NOM
Profano	NOM
N°	NOM
inv.	ABR
65178	NUM
,	PON
tutti	PRO:indef
databili	ADJ
tra	PRE
4°	NOM
e	CON
inizio	NOM
6°	NOM
sec.	NOM
