On	PRO:PER
peut	VER:pres
reconnaître	VER:infi
chez	PRP
Clément	NAM
d'	PRP
Alexandrie	NAM
,	PUN
dans	PRP
le	DET:ART
«	PUN:cit
Pédagogue	NOM
»	PUN:cit
,	PUN
le	DET:ART
fondement	NOM
de	PRP
la	DET:ART
doctrine	NOM
patristique	ADJ
du	PRP:det
vêtement	NOM
:	PUN
l'	DET:ART
habit	NOM
doit	VER:pres
cacher	VER:infi
le	DET:ART
corps	NOM
afin	KON
de	PRP
ne	ADV
pas	ADV
éveiller	VER:infi
la	DET:ART
concupiscence	NOM
.	SENT

Les	DET:ART
Pères	NOM
sont	VER:pres
plus	ADV
indulgents	ADJ
à	PRP
l'	DET:ART
égard	NOM
du	PRP:det
luxe	NOM
vestimentaire	ADJ
qui	PRO:REL
sert	VER:pres
à	PRP
manifester	VER:infi
un	DET:ART
pouvoir	NOM

