Reprenant	VER:ppre
la	DET:ART
question	NOM
de	PRP
l'	DET:ART
identification	NOM
du	PRP:det
guide	NOM
céleste	ADJ
assigné	VER:pper
par	PRP
Jupiter	NAM
à	PRP
Hannibal	NAM
,	PUN
dans	PRP
le	DET:ART
songe	NOM
qu'	PRO:REL
il	PRO:PER
aurait	VER:cond
reçu	VER:pper
au	PRP:det
moment	NOM
de	PRP
lancer	VER:infi
son	DET:POS
expédition	NOM
contre	PRP
l'	DET:ART
Italie	NAM
,	PUN
É	NAM
.	SENT

Foulon	NOM
a	VER:pres
récemment	ADV
défendu	VER:pper
qu'	KON
il	PRO:PER
s'	PRO:PER
agirait	VER:cond
d'	PRP
Hermès/Mercure	NAM
,	PUN
soit	KON
Mercure	NAM
Alètès	NAM
(	PUN
=>	ABR
74-01540	NUM
)	PUN
.	SENT

Il	PRO:PER
paraît	VER:pres
préférable	ADJ
d'	PRP
y	PRO:PER
reconnaître	VER:infi
Héraklès	NAM
,	PUN
au	PRP:det
regard	NOM
de	PRP
Silènos	NAM
,	PUN
surtout	ADV
si	KON
l'	PRO:PER
on	PRO:PER
considère	VER:pres
que	KON
ce	PRO:DEM
nom	NOM
ne	ADV
recouvre	VER:pres
pas	ADV
ici	ADV
la	DET:ART
figure	NOM
du	PRP:det
demi-dieu	NOM
hellénique	ADJ
,	PUN
mais	KON
celle	PRO:DEM
du	PRP:det
dieu	NOM
phénico-punique	ADJ
Melqart	NAM

